k,b,m,value
8,16,10,0.659
8,16,15,7.162
8,16,20,9.1
8,16,25,29.004
8,16,30,40.08
8,16,35,34.969
8,16,40,46.829
8,16,45,57.886
8,16,50,85.856
8,24,10,0.108
8,24,15,0.364
8,24,20,1.752
8,24,25,6.87
8,24,30,5.981
8,24,35,10.415000000000001
8,24,40,15.634
8,24,45,18.477
8,24,50,39.684999999999995
8,32,10,0.044000000000000004
8,32,15,0.878
8,32,20,1.173
8,32,25,3.221
8,32,30,6.287
8,32,35,9.47
8,32,40,10.12
8,32,45,12.424
8,32,50,17.366
8,40,10,0.013999999999999999
8,40,15,0.10300000000000001
8,40,20,0.164
8,40,25,0.516
8,40,30,0.814
8,40,35,2.7439999999999998
8,40,40,1.7209999999999999
8,40,45,4.216
8,40,50,4.194
8,48,10,0.153
8,48,15,0.095
8,48,20,0.26
8,48,25,0.383
8,48,30,1.872
8,48,35,1.375
8,48,40,3.42
8,48,45,4.073
8,48,50,4.8149999999999995
8,56,10,0.012
8,56,15,0.034999999999999996
8,56,20,0.051000000000000004
8,56,25,0.133
8,56,30,0.543
8,56,35,0.77
8,56,40,0.6799999999999999
8,56,45,1.863
8,56,50,2.436
8,64,10,0.002
8,64,15,0.013999999999999999
8,64,20,0.097
8,64,25,0.08800000000000001
8,64,30,0.13
8,64,35,0.369
8,64,40,0.716
8,64,45,1.145
8,64,50,1.6969999999999998
8,72,10,0.006
8,72,15,0.001
8,72,20,0.006999999999999999
8,72,25,0.023
8,72,30,0.042
8,72,35,0.101
8,72,40,0.191
8,72,45,0.586
8,72,50,0.44999999999999996
8,80,10,0.003
8,80,15,0.002
8,80,20,0.008
8,80,25,0.02
8,80,30,0.03
8,80,35,0.062
8,80,40,0.089
8,80,45,0.36
8,80,50,0.35200000000000004
8,88,10,0.0
8,88,15,0.0
8,88,20,0.0
8,88,25,0.002
8,88,30,0.005
8,88,35,0.01
8,88,40,0.026
8,88,45,0.056999999999999995
8,88,50,0.087
8,96,10,0.003
8,96,15,0.124
8,96,20,0.11
8,96,25,0.14300000000000002
8,96,30,0.11199999999999999
8,96,35,0.252
8,96,40,0.638
8,96,45,0.716
8,96,50,1.351
8,104,10,0.0
8,104,15,0.0
8,104,20,0.001
8,104,25,0.002
8,104,30,0.003
